Name,Address,decimalLatitude,decimalLongitude
서울,서울 중구 세종대로 110,37.5663174209601,126.977829174031
부산,부산 연제구 중앙대로 1001,35.17992598569,129.07509523457
대구,대구 중구 공평로 88,35.8715665189534,128.601258980014
인천,인천 남동구 정각로 29,37.4560499608337,126.705255744089
광주,광주 서구 내방로 111,35.1600994105234,126.851461925213
대전,대전 서구 둔산로 100,36.3503849976553,127.384633005948
울산,울산 남구 중앙로 201,35.5379472830778,129.311256608093
세종,세종특별자치시 한누리대로 2130,36.4800579897497,127.289039408864
경기,경기 수원시 영통구 도청로 30,37.2892851628003,127.053543271
강원,강원특별자치도 춘천시 중앙로 1,37.8800729197963,127.727907820318
충북,충북 청주시 상당구 상당로 82,36.6353867908159,127.491428436987
충남,충청남도 홍성군 홍북읍 충남대로 21,36.6590666265439,126.672978750559
전북,전북특별자치도 전주시 완산구 효자로 225,35.8194374902358,127.106374667247
전남,전라남도 무안군 삼향읍 오룡길 1,34.8174988528003,126.465423854957
경북,경상북도 안동시 풍천면 도청대로 455,36.5761205474728,128.505722686385
경남,경상남도 창원시 의창구 중앙대로 300,35.2378032514675,128.691940442146
제주,제주특별자치도 제주시 문연로 6,33.4882207234688,126.497722598412
